No.,Time,Source,Destination,Protocol,Length,Info,
19,4.409038,192.168.159.151,192.168.159.152,ICMP,107,Destination unreachable (Port unreachable),no
20,4.409089,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x37e6 Server failure A clients1.google.com,no
21,4.409191,192.168.159.151,192.168.159.152,DNS,89,Standard query 0x274e A clients1.google.com.mydns.com,no
22,4.409282,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x37e6 A clients1.google.com,no
23,4.409708,192.168.159.152,192.168.159.151,DNS,137,Standard query response 0x274e No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com,no
24,4.409969,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
25,4.413244,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x8b6c A clients1.google.com,no
26,5.004711,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xb8a7 A 3.ubuntu.pool.ntp.org,no
27,5.004933,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x4aea AAAA 3.ubuntu.pool.ntp.org,no
28,5.179835,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
29,5.40937,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
30,6.409618,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
31,8.14532,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
32,9.14805,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
33,9.412992,192.168.159.151,192.168.159.152,DNS,89,Standard query 0x50d6 A clients1.google.com.mydns.com,no
34,9.413452,192.168.159.152,192.168.159.151,DNS,137,Standard query response 0x50d6 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com,no
35,9.418458,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x8b6c A clients1.google.com,no
36,9.452932,VMware_9d:e8:5f,VMware_fe:64:2f,ARP,42,Who has 192.168.159.152? Tell 192.168.159.151,no
37,9.453152,VMware_fe:64:2f,VMware_9d:e8:5f,ARP,60,192.168.159.152 is at 00:0c:29:fe:64:2f,no
38,10.004057,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0xb8a7 Server failure A 3.ubuntu.pool.ntp.org,no
39,10.00429,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x783b A 3.ubuntu.pool.ntp.org.mydns.com,no
40,10.004362,192.168.159.151,192.168.159.152,DNS,91,Standard query 0xbc98 AAAA 3.ubuntu.pool.ntp.org.mydns.com,no
41,10.004857,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x4aea Server failure AAAA 3.ubuntu.pool.ntp.org,no
42,10.004898,192.168.159.151,192.168.159.152,ICMP,109,Destination unreachable (Port unreachable),no
43,10.004945,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x783b No such name A 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,no
44,10.00508,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0xbc98 No such name AAAA 3.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,no
45,10.006232,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x077a A 1.ubuntu.pool.ntp.org,no
46,10.006316,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x306c AAAA 1.ubuntu.pool.ntp.org,no
47,10.007095,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
48,10.171741,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
49,10.414359,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x89b3 A clients1.google.com,no
50,11.00537,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
51,12.005705,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
52,13.150834,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
53,14.17198,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
54,14.410149,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x37e6 Server failure A clients1.google.com,no
55,14.410209,192.168.159.151,192.168.159.152,ICMP,107,Destination unreachable (Port unreachable),no
56,14.410241,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x8b6c Server failure A clients1.google.com,no
57,14.410267,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x89b3 Server failure A clients1.google.com,no
58,14.531314,192.168.159.151,192.168.159.152,DNS,89,Standard query 0x5360 A clients1.google.com.mydns.com,no
59,14.531384,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x89b3 A clients1.google.com,no
60,14.531754,192.168.159.152,192.168.159.151,DNS,137,Standard query response 0x5360 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com,no
61,14.532072,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
62,15.008472,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x077a A 1.ubuntu.pool.ntp.org,no
63,15.008689,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x306c AAAA 1.ubuntu.pool.ntp.org,no
64,15.075083,192.168.159.151,192.168.159.152,DNS,79,Standard query 0xa61b A clients1.google.com,no
65,15.196186,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
66,15.529661,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
67,16.529404,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
68,17.835806,192.168.178.1,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,no
69,18.156189,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
70,18.839488,192.168.178.1,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,no
71,19.163777,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
72,19.532279,192.168.159.151,192.168.159.152,DNS,89,Standard query 0xcc29 A clients1.google.com.mydns.com,no
73,19.532645,192.168.159.152,192.168.159.151,DNS,137,Standard query response 0xcc29 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com,no
74,19.847198,192.168.178.1,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,no
75,20.007226,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x077a Server failure A 1.ubuntu.pool.ntp.org,no
76,20.007388,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x306c Server failure AAAA 1.ubuntu.pool.ntp.org,no
77,20.007572,192.168.159.151,192.168.159.152,DNS,91,Standard query 0xd1e0 A 1.ubuntu.pool.ntp.org.mydns.com,no
78,20.007673,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x086a AAAA 1.ubuntu.pool.ntp.org.mydns.com,no
79,20.008059,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0xd1e0 No such name A 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,no
80,20.008104,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x086a No such name AAAA 1.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,no
81,20.010109,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xa7d3 A 2.ubuntu.pool.ntp.org,no
82,20.010193,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x6a4c AAAA 2.ubuntu.pool.ntp.org,no
83,20.011028,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
84,20.080384,192.168.159.151,192.168.159.152,DNS,79,Standard query 0xa61b A clients1.google.com,no
85,20.188083,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
86,20.854698,192.168.178.1,239.255.255.250,SSDP,217,M-SEARCH * HTTP/1.1 ,no
87,21.009689,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
88,21.045031,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x4a00 A clients1.google.com,no
89,22.010285,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
90,23.161679,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
91,24.187852,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
92,24.532725,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x89b3 Server failure A clients1.google.com,no
93,24.532807,192.168.159.151,192.168.159.152,ICMP,107,Destination unreachable (Port unreachable),no
94,24.532879,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0xa61b Server failure A clients1.google.com,no
95,24.532919,192.168.159.152,192.168.159.151,DNS,79,Standard query response 0x4a00 Server failure A clients1.google.com,no
96,24.533101,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x4a00 A clients1.google.com,no
97,24.533139,192.168.159.151,192.168.159.152,DNS,89,Standard query 0xba4e A clients1.google.com.mydns.com,no
98,24.533582,192.168.159.152,192.168.159.151,DNS,137,Standard query response 0xba4e No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com,no
99,24.53391,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
100,24.534839,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x72fb A clients1.google.com,no
101,25.013212,192.168.159.151,192.168.159.152,DNS,81,Standard query 0xa7d3 A 2.ubuntu.pool.ntp.org,no
102,25.0133,192.168.159.151,192.168.159.152,DNS,81,Standard query 0x6a4c AAAA 2.ubuntu.pool.ntp.org,no
103,25.211994,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
104,25.533409,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
105,26.533722,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
106,28.167194,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
107,29.180114,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
108,29.534644,192.168.159.151,192.168.159.152,DNS,89,Standard query 0x5066 A clients1.google.com.mydns.com,no
109,29.534983,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x72fb A clients1.google.com,no
110,29.535073,192.168.159.152,192.168.159.151,DNS,137,Standard query response 0x5066 No such name A clients1.google.com.mydns.com SOA ubuntu.mydns.com,no
111,29.54162,VMware_fe:64:2f,VMware_9d:e8:5f,ARP,60,Who has 192.168.159.151? Tell 192.168.159.152,no
112,29.541641,VMware_9d:e8:5f,VMware_fe:64:2f,ARP,42,192.168.159.151 is at 00:0c:29:9d:e8:5f,no
113,30.011009,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0xa7d3 Server failure A 2.ubuntu.pool.ntp.org,no
114,30.011088,192.168.159.152,192.168.159.151,DNS,81,Standard query response 0x6a4c Server failure AAAA 2.ubuntu.pool.ntp.org,no
115,30.011267,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x537e A 2.ubuntu.pool.ntp.org.mydns.com,no
116,30.011367,192.168.159.151,192.168.159.152,DNS,91,Standard query 0x4ec0 AAAA 2.ubuntu.pool.ntp.org.mydns.com,no
117,30.011848,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x537e No such name A 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,no
118,30.011946,192.168.159.152,192.168.159.151,DNS,139,Standard query response 0x4ec0 No such name AAAA 2.ubuntu.pool.ntp.org.mydns.com SOA ubuntu.mydns.com,no
119,30.203779,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.150,no
120,30.534365,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
121,30.535443,192.168.159.151,192.168.159.152,DNS,79,Standard query 0x7ff0 A clients1.google.com,no
122,31.436909,VMware_c7:28:f6,Broadcast,ARP,60,Who has 192.168.159.152? Tell 192.168.159.150,no
123,31.43707,VMware_fe:64:2f,VMware_c7:28:f6,ARP,60,192.168.159.152 is at 00:0c:29:fe:64:2f,no
124,31.45649,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
125,31.456648,192.168.159.152,192.168.159.150,ICMP,118,Destination unreachable (Port unreachable),no
126,31.458184,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Response, Unknown",yes
127,31.458201,192.168.159.152,192.168.159.150,ICMP,118,Destination unreachable (Port unreachable),no
128,31.459761,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Response, TRUSTKEY",yes
129,31.459772,192.168.159.152,192.168.159.150,ICMP,118,Destination unreachable (Port unreachable),no
130,31.461623,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
131,31.461635,192.168.159.152,192.168.159.150,ICMP,118,Destination unreachable (Port unreachable),no
132,31.463207,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
133,31.463219,192.168.159.152,192.168.159.150,ICMP,118,Destination unreachable (Port unreachable),no
134,31.46456,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
135,31.46457,192.168.159.152,192.168.159.150,ICMP,118,Destination unreachable (Port unreachable),no
136,31.465915,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
137,31.467146,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
138,31.468943,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
139,31.470401,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
140,31.471734,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
141,31.472973,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, GET_RESTRICT[Malformed Packet]",yes
142,31.474327,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
143,31.475769,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
144,31.477096,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
145,31.478378,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
146,31.480334,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
147,31.48207,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown",yes
148,31.48337,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
149,31.484669,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
150,31.48606,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Response, Unknown",yes
151,31.487337,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
152,31.488928,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
153,31.490267,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
154,31.491565,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
155,31.492846,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
156,31.49443,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
157,31.495806,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
158,31.497132,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
159,31.498389,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
160,31.499654,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
161,31.501324,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
162,31.502649,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
163,31.504017,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown",yes
164,31.505664,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
165,31.506966,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
166,31.508256,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
167,31.509563,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
168,31.510906,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
169,31.512378,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
170,31.513739,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
171,31.515063,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
172,31.516648,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown[Malformed Packet]",yes
173,31.517908,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control[Malformed Packet]",yes
174,31.519168,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
175,31.520631,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
176,31.522466,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
177,31.52382,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
178,31.525197,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
179,31.526711,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
180,31.528028,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
181,31.529285,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
182,31.530558,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
183,31.531788,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
184,31.533107,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
185,31.533446,VMware_fe:64:2f,Broadcast,ARP,60,Who has 192.168.159.2? Tell 192.168.159.152,no
186,31.534477,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
187,31.535816,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
188,31.537147,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control[Malformed Packet]",yes
189,31.538977,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
190,31.540295,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
191,31.541983,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown[Malformed Packet]",yes
192,31.543352,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
193,31.54505,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
194,31.54637,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
195,31.548006,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Response, Unknown",yes
196,31.549329,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
197,31.55084,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
198,31.552628,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown[Malformed Packet]",yes
199,31.553984,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
200,31.555308,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
201,31.556659,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
202,31.558042,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
203,31.559325,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
204,31.560681,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
205,31.56207,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
206,31.56342,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
207,31.565216,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
208,31.566531,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
209,31.567956,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
210,31.569231,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
211,31.570571,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
212,31.571851,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
213,31.573182,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
214,31.574428,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
215,31.575765,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
216,31.57736,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
217,31.578625,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
218,31.579947,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
219,31.581326,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
220,31.58303,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown",yes
221,31.584502,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
222,31.585736,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
223,31.587429,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
224,31.588936,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
225,31.590493,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
226,31.591791,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
227,31.593254,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
228,31.594566,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control[Malformed Packet]",yes
229,31.595891,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
230,31.597177,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
231,31.598616,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
232,31.600042,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
233,31.601393,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
234,31.602875,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
235,31.604179,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
236,31.60548,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
237,31.606752,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, server",yes
238,31.608203,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
239,31.610027,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric passive",yes
240,31.611365,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
241,31.612717,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
242,31.614116,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
243,31.615781,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
244,31.617113,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
245,31.618496,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control[Malformed Packet]",yes
246,31.620411,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
247,31.622119,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
248,31.623688,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
249,31.625321,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
250,31.627033,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, control",yes
251,31.629017,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
252,31.631077,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Response, Unknown",yes
253,31.633089,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
254,31.634652,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
255,31.636736,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
256,31.638179,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, reserved",yes
257,31.63953,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
258,31.640909,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown[Malformed Packet]",yes
259,31.642236,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, broadcast",yes
260,31.643677,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
261,31.645826,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, symmetric active",yes
262,31.647186,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, private, Request, Unknown[Malformed Packet]",yes
263,31.648666,192.168.159.150,192.168.159.152,NTP,90,"NTP Version 4, client",yes
